
13 Aug 2021 - 11:06:51;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 59% used;Upload: 715 Bytes;Download: 591 Bytes
13 Aug 2021 - 11:06:51;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 58% used;Upload: 550 Bytes;Download: 205 Bytes
13 Aug 2021 - 11:06:52;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 48ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 59% used;Upload: 701 Bytes;Download: 859 Bytes
13 Aug 2021 - 11:06:53;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 58% used;Upload: 701 Bytes;Download: 859 Bytes
13 Aug 2021 - 11:06:54;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 58% used;Upload: 714 Bytes;Download: 590 Bytes
13 Aug 2021 - 11:06:55;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 23ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 58% used;Upload: 649 Bytes;Download: 514 Bytes
13 Aug 2021 - 11:06:56;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 58% used;Upload: 590 Bytes;Download: 519 Bytes
13 Aug 2021 - 11:06:57;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 58% used;Upload: 649 Bytes;Download: 514 Bytes
13 Aug 2021 - 11:06:58;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 58% used;Upload: 714 Bytes;Download: 590 Bytes
13 Aug 2021 - 11:06:59;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 53ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 59% used;Upload: 652 Bytes;Download: 516 Bytes
13 Aug 2021 - 11:07:00;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 58% used;Upload: 652 Bytes;Download: 516 Bytes
